angle,coords,dist,images/pieces/aurora30/piece_17.png
135.6740368979845,"(2, 2)",120.21647141718975,
221.4677054161091,"(2, 162)",114.76933388322858,
228.0940580589171,"(18, 164)",104.80458005259122,
251.3232982678099,"(64, 157)",74.94664769020693,
253.9509952074668,"(67, 159)",75.96051605933177,
251.3654151225536,"(59, 172)",90.75791976461338,
254.13429219722616,"(61, 181)",98.76234100101111,
262.7367552594154,"(75, 188)",102.82509421342633,
273.925907703684,"(95, 188)",102.23991392797629,
281.08256946302964,"(107, 183)",98.84331034521254,
284.93141717813756,"(112, 176)",93.14504817756014,
286.31385242626055,"(112, 168)",85.44003745317531,
283.4652080948117,"(105, 157)",73.00684899377592,
284.82647997035565,"(106, 154)",70.3420215802759,
314.16968451374197,"(156, 156)",97.59098319004681,
321.84277341263095,"(172, 152)",106.82696288858914,
329.5344550805401,"(173, 136)",98.6154146165801,
345.79323388223963,"(167, 106)",81.49233092751734,
348.146995832256,"(169, 103)",82.76472678623425,
345.2254497249534,"(179, 110)",94.11163583744573,
347.0053832080835,"(192, 110)",106.73331251301067,
351.2147012821154,"(198, 103)",111.30588483993108,
356.3915311474337,"(199, 93)",111.22050170719426,
2.1409013663230994,"(195, 82)",107.07474025184464,
5.599339336520571,"(190, 76)",102.48902380255166,
8.652541791114725,"(180, 72)",93.05912099305473,
10.175510843043206,"(166, 72)",79.2464510246358,
11.888658039627973,"(164, 70)",77.6659513557904,
34.84573341979974,"(167, 31)",96.26006440887103,
45.0,"(167, 7)",111.72287142747452,
47.147585428298505,"(165, 3)",113.21660655575224,
